Sentence,Class
ሕጉ መነሻውና ምንጩ በቅጥር ላይ የተመሰረተ ግንኙነት ሲሆን ይህም በአንድ ተቀጣሪ ሠራተኛ እና ቀጣሪ ግለሰብ  ድርጅት መካከል ይፈጠራል,Labor law
ከቤት ውጭ የሚደረጉ ስብሰባዎችና ሰላማዊ ሰልፎች በሚንቀሳቀሱባቸው ቦታዎች በሕዝብ እንቅስቃሴ ላይ ችግር እንዳይፈጥሩ ለማድረግ ወይም በመካሔድ ላይ ያለ ስብሰባ ወይም ሰላማዊ ሰልፍ ሰላምን፣ ዴሞክራሲያዊ መብቶችንና የሕዝብን የሞራል ሁኔታ እንዳይጥሱ ለማስጠበቅ አግባብ ያላቸው ሥርዓቶች ሊደነገጉ ይችላሉ,Constitutional law
አንቀጽ 32 የመዘዋወር ነጻነትማንኛውም ኢትዮጵያዊ ወይም በሕጋዊ መንገድ ሀገሪቱ ውስጥ የሚገኝ የውጭ ዜጋ በመረጠው የሀገሪቱ አካባቢ የመዘዋወርና የመኖሪያ ቦታ የመመስረት፣እንዲሁም በፈለገው ጊዜ ከሀገር የመውጣት ነጻነት አለው,Constitutional law
የሥራ መሪነት የሚወሰነውለክርክሩ አግባብ በሆነው ጊዜ ውስጥ የነበሩትን ተግባራት በመመዘን ነው,Labor law
እናቲቱ በባልዋ ላይ ያደረገችው የሴሰኝነት የዝሙት ሥራ ልጁ የሌላ ሰው ለመሆኑ የምትሰጠው የእምነት ቃል ብቻ እንደ ከባድ ምክንያት ሊቆጠሩ አይችሉም,Family law
ባልና ሚስት የየግል ሀብታቸውን የሚያነሱበት ሁኔታ ሲኖር ሁለቱም በመጨረሻ ከተገኘው የንብረት መጠን እንደየአስተዋጽኦዋቸው ሊደርሳቸው የሚችለውን ያህል የማንሳት መብት ይኖራቸዋል,Family law
ይህ አይነቱ ሁኔታ የሚከሰተው ደግሞ አንድ ድርጅት የተለያዩ የአሰራር ዘዴዎችን  ለውጦችን ተግባራዊ በማድረግ አላማ መዋቅራዊ ለውጦችን ሊያካሂድ የሚችልበት ሁኔታ ሲያጋጥም ነው,Labor law
በዚህ አግባብ የተወሰኑ የአዋጁ ድንጋጌዎች ተፈጻሚ ከማይሆኑባቸው መካከል ለአብነት ለመጥቀስ ያህል በአዋጁ አንቀጽ 31 መሰረት የሙከራ ጊዜውን ያልጨረሰ ሠራተኛ ለአሠሪው የ30 ቀናት የማስጠንቀቂያ ጊዜ ለመስጠት አይገደድም፤ ከዚህም በተጨማሪ በአንቀጽ 39 እና ተከታይ ድንጋጌዎች መሰረት የተቀመጠውን የሥራ ስንብት ክፍያ ለማግኘት ሠራተኛው የሙከራ ጊዜውን ሊጨርስ ይገባል፤ በአንቀጽ 515 መሰረት የሙያ መልመጃ ውል ያለው ተለማማጅ የሥራ ስንብት ክፍያ፣ የካሳ ክፍያ እና ወደ ሥራ የመመለስ ጥያቄን ሊያነሳ አይችልም,Labor law
በአዋጁ የትርጉም ክፍል በሆነው አንቀጽ 210 አገላለጽ የሥራ መሪ የሚባለው በሕግ  እንደድርጅቱ የሥራ ጸባይ በአሠሪው በተሰጠው የውክልና ስልጣን መሰረት የሥራ አመራር ፖሊሲዎችን የማውጣትና የማስፈጸም ከዚህ በተጨማሪ  እነዚህኑ ሳይጨምር ሠራተኛን የመቅጠር፣ የማዘዋወር፣ የማገድ የማሰናበት፣ የመመደብ  የሥነ-ስርዓት እርምጃ የመውሰድ ተግባራትን የሚያከናውንና የሚወስን ግለሰብ እንደሆነ ተቀምጧል,Labor law
ነገር ግን በዚህ አይነት ሁኔታ የሥራ ቅጥር ውል ተፈፅሞ ቢገኝ ውጤቱ ምን ይሆናል የሚለውን አዋጁ ምላሽ አይሰጥም,Labor law
በዚህ አንቀጽ ንዑስ አንቀጽ  የተመለከተው ድንጋጌ እንደተጠበቀ ሆኖ አባትና እናት በአሳዳሪነታቸው በሚሰጡት ውሳኔ ላይ አቤቱታ ሊቀርብበት አይችልም,Family law
በኤች አይ ቪ ፖሊሲው ላይ ማስገደድ ተከልክሎዋል ፖሊሲ በህግ አተረጓጎም ላይ የራሱ እንደምታ አለው,Criminal law
መንግሥትና ክልሎች በሕግ የተሰጧቸውን ኃላፊነቶችና ተግባሮች ለማከናወን የሚያስፈልጋቸውን ወጪ በየበኩላቸው ይሸፍናሉ፤ ሆኖም ማንኛውም ክልል በውክልና ለሚፈጽመው ተግባር የሚያስፈልገው ወጪ ሌላ ስምምነት ከሌለ በቀር ውክልናውን በሰጠው ወገን ይሸፈናል,Constitutional law
ተከሳሹ መጥሪያ እንደደረሰው ሆነ ብሎ የተሸሸገ መሆኑን ፍርድ ቤቱ ሲረዳው መጥሪያው በፍርድ ቤቱ በደንበኛው ሥነ ሥርዓት እንዳይደርስ መሰናክል ያደረገ መሆኑን ፍርድ ቤቱ ሲረዳው መጥሪያው በፍርድ ቤቱ ቅጥር ግቢ ውስጥ ግልጽ በሆነ ሥፍራ ላይ እንዲለጠፍ ተከሳሹ የታወቀ መኖሪያ ቤት ያለው በመጨረሻው ጊዜ ይኖርበት የነበረው ሥፍራ ሲታወቅ በሚሠራበት የንግድ ሥራውን የሚያከናውንበት ሥፍራ የታወቀ ሲሆን ግልጽ በሆነ ሥፍራ በመለጠፍ በዚህ ሕግ በቁጥር 106 እና 107 በተነገረው ድንጋጌ መሠረት በጋዜጣ ማስታወቂያ አማካይነት ፍርድ ቤቱ ተገቢ መስሎ በታየው ዘዴ ተከሳሹ መጠራቱን እንዲያውቀው ያደርጋል,Civil law
ይሁን እንጅ የሥራ መሪዎችን የሥራ ሁኔታ የሚገዛ የሥራ መሪዎች መተዳደሪያ ደንብ ካለ የሥራ መሪውና የአሠሪው ግንኙነት የሚመራው በዚሁ ደንብ መሰረት ነው,Labor law
የግል ንብረት ባለቤትነት መብት እንደተጠበቀ ሆኖ፣ መንግሥት ለሕዝብ ጥቅም አስፈላጊ ሆኖ ሲያገኘው ተመጣጣኝ ካሳ በቅድሚያ በመክፈል የግል ንብረትን ለመውሰድ ይችላል,Constitutional law
ንብረት አስተዳዳሪ ኑዛዜ አስፈጻሚ ወራሽ በአስተዳዳሪነቱ በአስፈጻሚነቱ በወራሽነቱ የሚያቀርበውን ክስ ለግል ጉዳይ ከሚያቀርበው ክስ ጋር አጣምሮ ለማቅረብ በተከሰሰበት ጉዳይ አጣምሮ መልስ ለመስጠት አይችልም,Civil law
ጋብቻ ሲፈፀም ሁለቱም ተጋቢዎች ጋብቻውን በሚፈፀምበት ጊዜ በግንባር ተገኝተው ፈቃዳቸውን መስጠት አለባቸው,Family law
አንቀጽ 5 የፌዴራል መንግሥት ሥልጣንና ተግባር ሕገ መንግሥቱን ይጠብቃል፤ ይከላከላል,Constitutional law
በማለት የተሰጠውን ማብራሪያ ለአብነት መመልከት ይቻላል,Labor law
ስለዚህ ጉዳይ ለፍርድ ቤት የሚቀርበውን ጥያቄ የተከለከለው ሰው ራሱ  አሳዳሪው ሊያቀርበው ይችላል,Family law
በጋብቻው ውል ውስጥ ይህንን የሚቃረን ስምምነት ማድረግ አይችሉም,Family law
ስለ ነጋዴዎች የተደነገገው ማናቸውም የዚህ ሕግ ድንጋጌ በእጅ ሥራ ጥበበኞች ላይ የሚፈጸም አይደለም,commercial law
መንግሥት አቅም በፈቀደ መጠን ኪነጥበብን፣ ሳይንስንና ቴኖሎጂን የማስፋፋት ግዴታ አለበት,Constitutional law
ከሳሽ ተከሳሽ ለነበረው ሟች የንብረት አስተዳዳሪ ነኝ ብሎ የቀረበው እንዳራሴ ስለ ንብረት አስተዳዳሪነቱ ሥልጣን በቂ ያለመሆን ክርክር የተነሳ ፍርድ ቤቱ ይህን ክርክር አስቀድሞ መወሰን አለበት,Civil law
ግልጽ ከልካይ ህግ ያስፈልጋል,Criminal law
የዚህ አንቀጽ ንዑስ አንቀጽ ድንጋጌ ቢኖርም ፍርድ ቤቱ አስፈላጊ ሆኖ ሲያገኘው የዕርቁ ሂደት የደረሰበትን ደረጃ በየጊዜው ለመመርመርና ወቅታዊ ሪፖርት እንዲቀርብለት ማዘዝ ይችላል,Family law
የተለያዩ ምክንያቶችን ግምት ውስጥ በማስገባት እነዚህን የሥራ ግንኙነቶች የሚመሩ የፍሔር ሕጉን አንቀጽ 2512 እና ተከታዮቹን ጨምሮ ሌሎች ራሳቸውን የቻሉ ሕጎች በመኖራቸው ምክንያት ነው,Labor law
ሃይማኖትና እምነትን የመግለጽ መብት ሊገደብ የሚችለው የሕዝብን ደህንነት፣ሰላምን፣ ጤናን፣ ትምህርትን፣ የሕዝብን የሞራል ሁኔታ፣ የሌሎች ዜችን መሰረታዊ መብቶች፣ ነጻነቶች እና መንግስት ከሃይማኖት ነጻ መሆኑን ለማረጋረገጥ በሚወጡ ሕጐች ይሆናል,Constitutional law
ክሱ በይርጋ ከታገደ በኋላ በዚሁ ግዴታ ምክንያት ገንዘብ የመጠየቅ መብት ያለው ሰው ክስ ለማቅረብ የተከሳሽ ከሳሽ ለመሆን እንደ መከላከያ አድርጎ ለማንሣት አይችልም,commercial law
በአንዱ አጋጣሚ የብርበራ ትዕዛዝ ይዞ በወንጀሉ ቦታ የተገኘ በርባሪ ተግባሩን በሚያከናዉንበት ጊዜ እንዲበረብርና እንዲይዝ በትዕዛዙ ላይ ከተገለጸዉ ዉጪ የሆነ በምርመራ ክፍሉ ተመዝግቦ እየተጣራ ባለ አንድ ወንጀል የተገኘና ለጊዜዉ ከህግ አስከባሪዎች ተሰዉሮ የነበረ ንብረት በመኪና ሊወሰድ ሲጫን ተመልክቶ ይህን ንብረት ያዘ,Criminal law
በተግባር ግን ማንኛውም የሚያዝ ሰው ተፈተሾ ነው በቁጥጥር ስር የሚውለው ይህ የሚደረገው ተጠርጣሪው ወደ ማረፊያ ቤት በራሱበሌላው ላይ አደጋ ሊያደርስ የሚችል እቃ ይዞ እንዳይገባ ለመከላከል ይመስላል,Criminal law
ፍርድ ከመስጠቱ በፊት ከተከራካሪዎቹ ወገኖች አንዱ ከዚህ ቀጥሎ የተመለከቱትን ምክንያቶች መሠረት በማድረግ ለከፍተኛው ፍርድ ቤት አቤቱታ ሲያቀርብና ፍርድ ቤቱም የአቤቱታውን ተገቢነት አረጋግጦ የተቀበለው  እንደሆነ,Civil law
በኢትዮጵያ ሕግ የዋስትና አሰጣጥ ስርዓት ወንጀሎች ዋስትና የሚያሰጡ እና ዋስትና የማያሰጡ ወንሎች ተብለው ይከፋፈላሉ,Criminal law
የተያዙ ሰዎች በአርባ ስምንት ሰዓታት ውስጥ ፍርድ ቤት የመቅረብ መብት አላቸው,Constitutional law
ይሁን እንጅ እዚህ ላይ ሊነሳ የሚችለውና በጥንቃቄ መታየት የሚገባው ጉዳይ ቢኖር ምን አልባት ቀደም ሲል በአንቀጽ 101ለ መሰረት በህመም ምክንያት ለጊዜው ቀሪ የሆነን ሠራተኛ ለመተካት በዚሁ አግባብ ለተወሰነ ጊዜ የሚቆይ የሥራ ውል ፈጽሞ እየሰራ እያለ ህመምተኛው ቢሞት የዚህ የህመምተኛውን ሥራ ለጊዜው ተክቶ ለመስራት የገባው ሰው የሥራ ውል ምን ሊሆን ይችላል የሚለው ነው,Labor law
አማርኛ የፌዴራሉ መንግሥት የሥራ ቋንቋ ይሆናል,Constitutional law
ማንኛውም ሰው ጭካኔ ከተሞላበት፣ ኢሰብዓዊ ከሆነ ወይም ክብሩን ከሚያዋርድ አያያዝ ወይም ቅጣት የመጠበቅ መብት አለው,Constitutional law
ስለሆነም ለክሱ መነሻ የሆ የማይንቀሳቀስ ንብረት ሲሆንና ንብረቱም በኢትዮጵያ ግዛት ውስጥ የሚገኝ ሲሆን ክሱ የሚቀርበው ንብረቱ በሚገኝበት ክፍል በሚየስችለው ባለሥልጣን ፍርድ ቤት ነው,Civil law
ከዚህ አንጻር በሠራተኛውና በአሠሪው መካከል ቀድሞውኑ የተደረገው የሥራ ውል፣ የሥራ መዘርዝሮች፣ የድርጅቱ የሥራ መሪዎች ደንብ ካለ፣ የድርጅቱ የህብረት ስምምነት እንዲሁም ሌሎች የማስረጃነት ይዘት ያላቸው ተዛማጅ ሰነዶች በማስረጃነት ቀርበው እንደየጉዳዮቹና የድርጅቱ ጠቅላላ መዋቅራዊ አደረጃጀት ሁኔታ በተናጠል አልያም በጋራ ሊመዘኑ ይችላሉ,Labor law
የተዋዋይ ወገኖች የስምምነት ይዘት በአዋጅ ቁጥር 11562011 ዓ.ም አንቀጽ 41 ላይ የተመለከቱትን የሥራ ውል መስፈርቶች ማሟላቱ መረጋገጥ ይኖርበታል,Labor law
በዚህ ቁጥር የተመለከተው ድንጋጌ ተፈጻሚ በሚሆንበት ጊዜ ሁሉ ምትክ ዳኞች የሠሩት ተግባር የፍትሐ ብሔር ክፍል ዳኞች እንደሠሩት ሆኖ ይቆጠራል,Civil law
ኢንሹራንስ ሰጪው ከውጭ አገር ጋራ በተደረገ ጦርነት በአገር ውስጥ በሆነ የእርስ በርስ ጦርነት በመነሣቱ ምክንያት ለሚደርሰው ጉዳት ጥፋት አላፊ ለመሆን ካልተዋዋለ በቀር አላፊነት የለበትም,commercial law
ከጋብቻ ውጭ የተወለዱ ሕጻናት በጋብቻ ከተወለዱ ሕጻናት ጋር እኩል መብት አላቸው,Constitutional law
ይኸውም በዚህ ሕግ ይልቊንም በሁለተኛው መጽሐፍና በአምስተኛው መጽሐፍ በአንቀጽ 4 በተለይ ለንግድ ሥራ ማኅበሮች የተሠሩት ልዩ ውሳኔዎች የተጠበቊ ሆነው ነው,commercial law
በዚህ ሕገ መንግሥት ምዕራፍ ሦስት የተዘረዘሩት መብቶችና ነጻነቶች በሙሉ፣ይህ አንቀጽ፣ እንዲሁም አንቀጽ 04 ሊሻሻሉ የሚችሉት በሚከተለው አኳቃን ብቻ ይሆናል,Constitutional law
የዋስትና መያዣ ያለው ገንዘብ ጠያቂ የሆነ ሰው የሚፈልገው ገንዘብ መክፈያው በደረሰ ጊዜ ይኸንኑ ለማስከፈል ለባለዕዳው አስታውቆና ሳይከፈለውም አንድ ወር ካለፈ በኋላ የንግድን መደብር ለማስያዝና በሐራጅም እንዲሸጥ ለማድረግ ይችላል,commercial law
አስቀድሞ በአንደኛው ወገን አቤቱታ ሙግት በግልጽ የተካደ ጉዳት ካልሆነ በቀር አንዱ ወገን ተከራካሪ ሕጋዊ በሆነ ግምት የሚደገፍበትን ነገር ሌላው ወገን ማስረጃ እንዲያቀርብ ተገቢ የሆነበትን ጉዳይ ሌላው ወገን በአቤቱታው ውስጥ መጥቀስ አይገባውም,Civil law
የመካድ ክስ በልጁ ላይ እርሱም ሞቶ እንደሆነ በወራሾቹ ላይ ይቀርባል,Family law
የማይነቃነቁ ቋሚዎች ሀብቶች የሆኑት በሒሳብ ማመዛዘኛ ውስጥ በመሠረታዊ ዋጋቸው ይመዘገባሉ እንደገና ተገምተው እንደሆነ እንደገና በተገመቱበት ዋጋቸው ይመዘገባሉ,commercial law
እነዚህን ነገሮች በጊዜው ለማድረግ ዐቃቤ ሕጉ ብዙውን ጊዜ በሰው ሀይል እጥረት እና በስራ መደራረብ ሲያዳግተው ስለሚታይ ይህ እስኪከናወን ድረስና ክስ እስኪመሰረት ድረስ ተከሳሹ ያለፍርድ በእስር የሚቆይበትን ጊዜ ያራዝመዋል,Criminal law
ይህም ማለት ለምሳሌ  ቁጥር 28 በሚለው መሰረት አንድን ተከሳሽ መርማሪው በፖሊስ ዋስትና ከለቀቀው በአንቀጽ 29 መሰረት ፍርድ ቤት ሲቀርብ ፍቤቱ በዋስ ከለቀቀው የአንቀፅ 29 2 እና 3 አፈጻጸም በዚያው ላይ ቁሞ ተከሳሹ የሚቀርብበትን ክስ ብቻ ይጠባበቃል ማለት ነው,Criminal law
ዋስትና በማያሰጡ ወንጀሎች ፍርድ ቤት ዋስትና የመስጠት መብት የለውም,Criminal law
የሀገሪቱን የውጭ ፖሊሲ በበላይነት ያስፈጽማል,Constitutional law
ፍርድ ቤት በዚህ አንቀጽ ንዑስ አንቀጽ  የተመለከተውን የገንዘብ መጠን ሊያሻሽለው ይችላል,Family law
ማስረጃ በህግ ግምት ሊሆን ይችላል በአንድ ህግ ዉስጥ የተሰጠን የህግ ግምት የፍትሃብሄር እና የወንጀል ብሎ መለያየት በሌላዉ ህግ በሚነሳ ጉዳየ ዉስጥ ተፈጻሚ እንዳይሆን ማድረግ ከማስረጃ ህግ አኳያ ተገቢነቱ እስከምን ነዉ,Criminal law
ጋብቻ ሳይፈፅሙ እንደባልና ሚስት አብሮ መኖር ማለት አንድ ወንድና አንዲት ሴት በሕግ በሚፀና አኳኋን ጋብቻ ሳይፈጽሙ በትዳር መልክ የኖሩ ሲሆን ነው,Family law
ንዑስ አንቀፅ አንድ በአፈፃፀም ሲታይ ከተከታዮቹ ንዑሳን አንቀፆች ይልቅ ተጣምሮ መታየት ያለበት ከወመሕስስ አንቀፅ 29 ጋር ነው የሚል ድምዳሜ ሊያስከትል ይችላል,Criminal law
ከዚህ ጋር በተያያዘ እንዲሁም ለተወሰነ ጊዜ  ላልተወሰነ ጊዜ የሥራ ውል ማድረግን በተመለከተ የሥራ ውሉ ሊያሟላቸውሊመዘንባቸው የሚገቡ መስፈርቶችን በማስቀመጥ ጭምር የፌደራሉ ጠቅላይ ፍቤት ሰበር ሰሚ ችሎትበቅጽ 3፣ በሰመቁ 11924 ገጽ 31 ላይከሰፊ ማብራሪያ ጋር የሰጠውን ውሳኔ መመልከቱ እጅግ ተገቢ ይሆናል,Labor law
ምንም እንኳ በአሠሪውና በሠራተኛው መካከል የሚደረገው የሥራ ውል በተዋዋይ ወገኖች መልካም ፈቃደኝነት ላይ ተመስርተውከሚደረጉ ጠቅላላ የውል አይነቶች መካከል ፈጽሞ የማይገኛኝ እንዳለመሆኑ መጠን ተዋዋይ ወገኖቹ በውሉ የቆይታ ጊዜ ሊኖሯቸው የሚችሉ መብትና ግዴታዎችን የሚይዝ መሆኑ ይጠበቃል,Labor law
ተወላጅነትን የማረጋገጥ ክስ ፍርድ ቤት ካልፈቀደ በስተቀር ሊቀርብ አይችልም,Family law
ተወላጅነቱን ለማረጋገጥ የሚፈልገው ሰው ስለመወለዱ ከተሰጠው የልደት ምስክር ወረቀት ጋር የሚስማማ የልጅነት ሁኔታ ያለው እንደሆነ ከሌላ ሰው ተወላጅነቱን ለማረጋገጥ ክስ ለማቅረብ አይፈቀድለትም,Family law
የሚያዝ እቃ ዝርዝር በታዘቢ ፊት ተመዝግቦ በገለልተኛ ሰው ሊፈረምበት ይገባል,Criminal law
አበሉ በስምምነቱ ውስጥ ይወሰናል ባልተወሰነበት ጊዜ በልማድ መሠረት ይቈረጣል የተስማሙበት አበል ከባድ መስሎ ሲታየው ደላላው ከሰጠው ሥራ ጋራ ተመዛዛኝ አለመሆኑ ሲታየው ፍርድ ቤቱ ለመቀነስ ሥልጣን አለው,commercial law
የተፈጥሮ አደጋ ሲያጋጥም ወይም የሕዝብን ደህንነት አደጋ ላይ የሚጥል በሽታ ሲከሰት የክልል መስተዳድሮች በክልላቸው የአስቸኳይ ጊዜ አዋጅ ሊያውጁ ይችላሉ,Constitutional law
ስለሆነም በከሳሽ በሚቀርበው አቤቱታ ተከሳሽ በሚሰጠው የመከላከያ መልስ ላይ ከሳሹ ተከሳሹ መብቱን በመጠበቅ የሚያቀርበው አቤቱታ መልስ በበኩሉ ያለበትን ግዴታ እንደፈጸመ ያስቆጥረዋል,Civil law
ከሦስተኛ ወገኖች ጋር በሚያገናኙት ጉዳዮች ሁሉ ሥልጣን ያለው ሥራ አስኪያጅ ከነጋዴው ሥራ ጋር ነክነት ያላቸውን ማናቸውንም ግዴታዎች ለመፈረምና የሚተላለፉ የንግድ ሰነዶችን ኔጎሽያብል ኢንስትሩመንት ጭምር ለመፈረም ሙሉ ሥልጣን እንዳለው ሆኖ ይቈጠራል,commercial law
የገጠርም ሆነ የከተማ መሬትና የተፈጥሮ ሀብት ባለቤትነት መብት የመንግሥትና የሕዝብ ብቻ ነው,Constitutional law
በ3ኛ ሰንጠረዥ በ1ኛ ፎርም ላይ የተገለፀው ለአንድ አላማ የሚውሉ ሁሉ ፎርሞች ሲሆኑ 1ኛው ተጠርጣሪ ራሱ ግዴታውን ካላከበረ በዋስትና ወረቀቱ ላይ የተገለፀውን የተወሰነ ገንዘብ ገቢ ለማድረግ በራሱ ግዴታ የሚገባበት ሲሆን፣ ሌላው ሁለተኛው ሌላ ሰው ለተከሳሹ ግዴታ የሚገባበት ነው,Criminal law
ለአንድ ክርክር መነሻ የሆነ ነገር ከመመሥረቱ በፊት የግዴታው መፈጸምና ያለመፈጸም ለክርክሩ መነሻ በሚሆንበት ጊዜ ከሳሹ በሚያቀርበው የክስ ማመልከቻ,Civil law
አንድ ወንድና አንዲት ሴት በታወቀና በተደጋገመ ሁኔታ የሩካቤ ሥጋ ግንኙነት መፈፀማቸው ብቻ በሁለቱ መካከል ጋብቻ ሳይፈፀም እንደባልና ሚስት ግንኙነት አላቸው ለማለት በቂ ምክንያት አይደለም,Family law
በዚህ ቁጥር የተመለከተው ድንጋጌ ተፈጻሚ በሚሆንበት ጊዜ ሁሉ ምትክ ዳኞች የሠሩት ተግባር የፍትሐ ብሔር ክፍል ዳኞች እንደሠሩት ሆኖ ይቆጠራል,Civil law
የምርመራ አላማ ተፈፀመ የተባለን ወንጀል በማስረጃ ማረጋገጥ ነው,Criminal law
በሽርክና የተቋቋመ ንግድ እንዲፈርስ ሂሣቡ እንዲጣራ በሚቀርብ ክስ ላይ ፍርድ ቤቱ የመጨረሻ ውሣኔ ከመስጠቱ በፊት የተከራካሪዎቹ ወገኖች ድርሻ ምን ያህል መሆን እንደሚገባው ከለየ በኋላ እንዲሁም የሽርክናው አቋም የሚፈርስበትን ቀን በመግለጽ ስለ ሂሣቡ መጣራትና ስለሌላም ጉዳይ ተገቢ መስሎ የታየውን ትእዛዝ ይሰጣል,Civil law
አካለመጠን ያልደረሰው ልጅ በሞግዚቱ ፈቃድ ለሚገባቸው ግዴታዎች ሞግዚቱ ለሶስተኛ ወገኖች ዋስ ነው,Family law
ማንኛውም ወታደራዊ አገልግሎት ለመስጠት ሕሊናው የማይፈቅድለት ሰው በምትክ የሚሰጠውን አገልግሎት,Constitutional law
በዚህም ሁኔታ የሚሰጠው ውሳኔ በፍርድ ቤቱ የሥልጣን ክልል ውስጥ በሚገኝ ንብረት ላይ እንደተሰጠ ይቆጠራል,Civil law
አንደኛ ዳኞች ዋስትናን ለመከልከል ሕጉን በጠባቡ መተርጎሙ አግባብ ቢመስልም ሕጉ በዐቃቤ ሕጉ ላይ ያልጣለውን የማስረዳት ሸክም ግን እንዲወጣ ማድረጉ በአግባቡ አይመስልም የሚሉ ወገኖች ሲኖሩ,Criminal law
ከዚህ በላይ ባለው ንዑስ ቁጥር እንደተመለከተው ክሱን ለመቀጠል መብት አለን የሚሉት ወገኖች ዋናው ከሳሽ ከሳሾች በሞቱ በአንድ ዓመት ውስጥ ክሱን ለመቀጠል እንዲፈቀድላቸው ሳያመለክቱ የቀሩ የተጀመረው ክርክር ውድቅ ይሆናል,Civil law
በክልሎች መካከል የሚደረግን የንግድ ግንኙነትና የውጭ ንግድን ይመራል፤ይቆጣጠራል,Constitutional law
ይህም የሆነበት ዋናው ምክንያት ከመጀመሪያውኑ የሥራዎቹ ባህሪያት ላልተወሰነ ጊዜሥራ በሚቆይ የሥራ ውል የሚሸፈኑ ከመሆናቸው አንጻር አሠሪው ተገቢ ባልሆነ ምክንያት በዚህ ሰበብ እንዳይጠቀም ለመከላከል ሲባል ነው,Labor law
በተጨማሪም የህክምና ምርመራ እንዲያደርግ ሊያዝዝ ይችላል,Criminal law
ይህን ውሳኔ በመፈጸም ንብረት ጠባቂዎቹ ክርክር ባልተደረገባቸው ዕዳዎች ዝርዘር ላይ ገንዘብ ጠያቂውን መቀበላቸውንና ያመኑለትንም የንዘብ ልክ ያመለክታሉ,commercial law
ነገር ግን አንድ ማኅበረተኛ የሆነ ሰው ከግል ንብረቱ እንዲከፍል የተከሰሰ እንደ ሆነ እንደ ተራ ዋስ ሁሉ ገንዘብ ጠያቂውን አስቀድሞ ከማኅበሩ ንብረት ላይ ፈልግ ብሎ ለመመለስ ይችላል,commercial law
በዚህ ሕግ በአንቀጽ ንዑስ አንቀጽ መሠረት የአንደኛው ተጋቢ የግል ሀብት ነው ካልተባለ በስተቀር፣ ባልና ሚስት ከተጋቡ በኋላ በግብይት የሚያገኙት ንብረት ሁሉ የጋራ ሀብታቸው ይሆናል,Family law
ይህም ፈቃድ በአክሲዮን ተለዋጭ ለሆኑ የግዴታ ወረቀቶች አምጪዎች ጥቅም በነዚሁ ግዴታዎች መለወጥ ለሚወጡት አክሲዮኖች፡ ባለአክሲዮኖቹ በቀደምትነት መብት ለመግዛት የመጻፍ መብታቸውን በመግለጽ መተዋቸውን የገለጹ መሆን አለባቸው,commercial law
ዕዳ ከፋዩ ከባድ የሆነ አታላይነት ቸልተኝነት ካላደረገ በቀር ምንም ይህ ሰው እውነተኛው ባለመብት ባይሆንም እንኳ ሰነዱ የባለገንዘብነትን ስም ለሰጠው የመክፈያው ጊዜ ሲደርስ የከፈለ ባለዕዳው ነጻ ይሆናል,commercial law
በተለያዩ ምክንያቶች ግን ይህ ሕግ ብዙ ጊዜ ሲተገበር አይታይም,Criminal law
በውጤቱም መሰረት የምርጫ ክልሎችን አከላለል የምርጫ ቦርድ በሚያቀርበው ረቂቅ መሠረት የፌዴሬሽኑ ምክር ቤት ይወስናል,Constitutional law
ማንኛውም ሰው ተገዶ ጋብቻ የፈጸመ እንደሆነ ጋብቻው እንዲፈርስ ጥያቄውን ለፍርድ ቤት ማቅረብ ይችላል,Family law
የሥራ ውል እንዲመሰረት ሥራ ለመሥራት ስምምነት መኖር በቂ ነው,Labor law
አንዳንድ ባለአክሲዮኖች በቀደምትነት ስም መብት ያላቸውን አክሲዮኖች ለመግዛት ያልተጻፉ እንደ ሆነ በቀደምትነት ለመግዛት መጻፍ ከሚችሉት አከሲዮኖች በላይ ጠይቀው የነበሩት ሌሎች ባለአክሲዮኖች ከዋናው ገንዘብ ውስጥ ባለቸው ድርሻ መጠንና ባደረጉት ጥያቄ ወሰን መሠረት እነዚህ የቀሩት አክሲዮኖች ይደለድሉላቸዋል,commercial law
ተከሳሹ በነገሩ የተረታና የተፈረደበት  በፍርዱ ተስማምቶ ከተቀበለው በኋላ ፍርድን ከመፈጸሙ በፊት እንደ ፍርዱ ከፈጸመ በኋላ ሦስተኛው ወገን መክፈል ያለበትን ድርሻ እንዲከፍል ይታዘዝልኝ ብሎ ተገቢውን ማመልከቻ ሲያቀርብ ይህ ሶስተኛ ወገን ድርሻውን ለዋናው ተከሳሽ እንዲከፍል ፍርድ ቤቱ ትእዛዝ ይሰጣል,Civil law
እንዲሁም ሁለት ከሁለት በላይ የሆኑ ክሶችን ይግባኞችን ያቀረቡት ተከራካሪ ወገኖች በአንድ ዘንግ የተመደቡ ሲሆኑና ለውሳኔም የቀረበው የሕግ ጥያቄና የሥረ ነገር ጭብጥ አንድ ዓይነት ሆኖ በለዩ ልዩ ፍርድ ቤቶች ዘንድ የቀረበ  ተነጣጥለው የቀረቡት ክሶች በአንድ ፍርድ ቤት ቢታዩ ለዳኝነቱ ሥራ አካሔድ ቀና መንገድ የሚሰጥ መሆኑ,Civil law
ከዚህም ሌላ የምርመራ መዛግብቱ እንኳን ተመቻችተው ቢቀርቡለት  ቁጥር 109 መሰረት ክስ ለማቅረብ ከተሰጠው ከ15 ቀናት በፊት ክስ ካላቀረብክ ማለት በሕግ ለዐቃቤ ሕግ የተሰጠውን መብት ከመቃረኑ ትክክል አይመስልም,Criminal law
